lon,lat,level,year,value
37.588255327067,55.70796913255,минимальный,2018,3
37.5407458439137,55.6890158654815,слабый,2018,8.3
37.533599568119,55.652582789551,минимальный,2018,3.6
37.5353590785143,55.6757862857256,минимальный,2018,0
37.422103221079,55.8071778687491,минимальный,2018,3.5
37.5556378697733,55.8434694861013,минимальный,2018,0
37.4910796551585,55.8513019055164,минимальный,2018,1.5
37.544403939246,55.8276631635235,минимальный,2018,3.1
37.51794316342,55.8687694099227,минимальный,2018,0
37.4691056953076,55.877860838095,минимальный,2018,1.6
37.5364155713502,55.8498684458483,минимальный,2018,6.7
37.4084090781356,55.812785306764,минимальный,2018,0
37.3969859914626,55.8189179511831,минимальный,2018,0
37.7188547903945,55.6721211897434,минимальный,2018,2.4
37.7272814975603,55.7020869361296,минимальный,2018,6.5
